,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2,cks_dilution,cks_rcf,parallax1,parallax1_err0,parallax2,parallax2_err1,parallax2_err2
378,K00481,11192998,K00481.01,Kepler-166 b,CONFIRMED,7.650241916,6.449e-06,-6.449e-06,2455004.972,0.000671,-0.000671,0.0004,0.3454,-0.0003,2.7472,0.0229,-0.0229,,,,1017.0,11.3,-11.3,0.02878,0.00051,-0.000225,3.39245,0.00695,-0.92241,2.39,0.73,-0.19,0.0711,,,780.0,,,87.56,82.75,-20.46,21.8945,0.0449,-0.0449,69.05857,98.0,3,,5413.0,173.0,-143.0,4.59,0.032,-0.178,-0.28,0.35,-0.28,0.759,0.235,-0.058,0.819,0.104,-0.084,,,,stellar_q1_q16,14.701,13.346,12.941,12.876,False,5174.7,60.0,-60.0,4.604,0.1,-0.1,-0.08,0.04,-0.04,0.5,1.0,-1.0,5175.0,60.0,60.0,4.553,0.039,-0.054,-0.074,0.042,-0.041,0.771,0.023,0.023,0.811,0.025,0.03,6.91830970919,5.15100593851,-4.51689740154,9.84,0.241682645503,-0.459533267863,1.656,0.078,-0.086,2.425,0.079,0.079,0.0712097049188,0.0011946870448,-0.0011946870448,80.3026996001,13.7554287246,-13.7554287246,762.862141084,32.6141980395,-32.6141980395,1.0,1.0,1.681,0.02,1.66,0.057,0.065
380,K00481,11192998,K00481.02,Kepler-166 d,CONFIRMED,1.554003928,1.435e-06,-1.435e-06,2455002.83,0.000704,-0.000704,0.148,0.2745,-0.148,1.7696,0.0244,-0.0244,,,,440.6,6.9,-6.9,0.019023,0.000471,-0.000253,2.45299,0.11152,-0.70944,1.58,0.48,-0.12,0.0246,,,1326.0,,,731.43,691.27,-170.88,6.791,0.309,-0.309,57.35749,74.6,3,,5413.0,173.0,-143.0,4.59,0.032,-0.178,-0.28,0.35,-0.28,0.759,0.235,-0.058,0.819,0.104,-0.084,,,,stellar_q1_q16,14.701,13.346,12.941,12.876,False,5174.7,60.0,-60.0,4.604,0.1,-0.1,-0.08,0.04,-0.04,0.5,1.0,-1.0,5175.0,60.0,60.0,4.553,0.039,-0.054,-0.074,0.042,-0.041,0.771,0.023,0.023,0.811,0.025,0.03,6.91830970919,5.15100593851,-4.51689740154,9.84,0.241682645503,-0.459533267863,1.656,0.078,-0.086,1.602,0.057,0.057,0.0246035381933,0.000410117950296,-0.000410117950296,671.575297612,113.925688186,-113.925688186,1297.29040037,54.8412434082,-54.8412434082,1.0,1.0,1.681,0.02,1.66,0.057,0.065
379,K00481,11192998,K00481.03,Kepler-166 c,CONFIRMED,34.25951372,7.279e-05,-7.279e-05,2455016.238,0.00167,-0.00167,0.0859,0.3122,-0.0859,4.7968,0.0544,-0.0544,,,,1110.1,18.0,-18.0,0.030068,0.000735,-0.000343,2.832,0.08259,-0.73622,2.49,0.77,-0.19,0.1931,,,473.0,,,11.87,11.22,-2.77,56.01,1.6,-1.6,43.261036,65.7,3,,5413.0,173.0,-143.0,4.59,0.032,-0.178,-0.28,0.35,-0.28,0.759,0.235,-0.058,0.819,0.104,-0.084,,,,stellar_q1_q16,14.701,13.346,12.941,12.876,False,5174.7,60.0,-60.0,4.604,0.1,-0.1,-0.08,0.04,-0.04,0.5,1.0,-1.0,5175.0,60.0,60.0,4.553,0.039,-0.054,-0.074,0.042,-0.041,0.771,0.023,0.023,0.811,0.025,0.03,6.91830970919,5.15100593851,-4.51689740154,9.84,0.241682645503,-0.459533267863,1.656,0.078,-0.086,2.532,0.088,0.088,0.193416857468,0.00321898643265,-0.00321898643265,10.8793490943,1.86287826241,-1.86287826241,462.82227657,19.7702057555,-19.7702057555,1.0,1.0,1.681,0.02,1.66,0.057,0.065
384,K00490,3239945,K00490.01,Kepler-167 b,CONFIRMED,4.393156523,5.732e-06,-5.732e-06,2455005.868,0.00103,-0.00103,0.0544,0.3685,-0.0544,2.4197,0.0362,-0.0362,,,,476.4,8.8,-8.8,0.019357,0.000688,-0.000219,2.76561,0.1547,-0.7522,1.71,2.57,-0.16,0.0482,,,899.0,,,154.44,937.67,-39.79,14.131,0.79,-0.79,52.39591,60.0,4,,4978.0,151.0,-130.0,4.511,0.069,-0.778,0.07,0.27,-0.27,0.808,1.216,-0.074,0.772,0.131,-0.058,,,,stellar_q1_q16,14.023,12.446,11.974,11.832,False,4868.1,60.0,-60.0,4.572,0.1,-0.1,0.034,0.04,-0.04,2.1,1.0,-1.0,4868.0,60.0,60.0,4.575,0.032,-0.033,0.034,0.042,-0.043,0.736,0.02,0.02,0.782,0.018,0.027,8.12830516164,5.11920502384,-5.43519928132,9.91,0.212134262098,-0.479746571826,2.92,0.11,-0.11,1.558,0.056,0.056,0.0483811112122,0.000807706102759,-0.000807706102759,122.961178325,21.0654440556,-21.0654440556,848.604890366,36.2236075765,-36.2236075765,1.013,1.0052,2.949,0.017,2.897,0.081,0.096
385,K00490,3239945,K00490.02,Kepler-167 e,CONFIRMED,1071.2319346,0.0006706,-0.0006706,2455253.288,0.000474,-0.000474,0.2134,0.0526,-0.092,16.1822,0.05,-0.05,,,,19949.5,40.5,-40.5,0.125961,9.7e-05,-0.000922,2.88106,0.17593,-0.05316,11.11,16.73,-1.01,1.881,,,144.0,,,0.1,0.62,-0.02,559.1,34.1,-34.1,,520.5,4,,4978.0,151.0,-130.0,4.511,0.069,-0.778,0.07,0.27,-0.27,0.808,1.216,-0.074,0.772,0.131,-0.058,,,,stellar_q1_q16,14.023,12.446,11.974,11.832,False,4868.1,60.0,-60.0,4.572,0.1,-0.1,0.034,0.04,-0.04,2.1,1.0,-1.0,4868.0,60.0,60.0,4.575,0.032,-0.033,0.034,0.042,-0.043,0.736,0.02,0.02,0.782,0.018,0.027,8.12830516164,5.11920502384,-5.43519928132,9.91,0.212134262098,-0.479746571826,2.92,0.11,-0.11,10.135,0.279,0.279,1.88804187719,0.0316734851984,-0.0316734851984,0.0807229731008,0.0140880975471,-0.0140880975471,135.835352269,5.90697969397,-5.90697969397,1.013,1.0052,2.949,0.017,2.897,0.081,0.096
382,K00490,3239945,K00490.03,Kepler-167 c,CONFIRMED,7.40610775,1.527e-05,-1.527e-05,2454967.075,0.00167,-0.00167,0.6578,0.1812,-0.4475,2.888,0.0546,-0.0546,,,,427.9,10.7,-10.7,0.019899,0.001873,-0.001367,1.233,1.26791,-0.80476,1.76,2.64,-0.17,0.0683,,,755.0,,,76.91,466.99,-19.81,15.29,5.2,-5.2,39.523266,45.5,4,,4978.0,151.0,-130.0,4.511,0.069,-0.778,0.07,0.27,-0.27,0.808,1.216,-0.074,0.772,0.131,-0.058,,,,stellar_q1_q16,14.023,12.446,11.974,11.832,False,4868.1,60.0,-60.0,4.572,0.1,-0.1,0.034,0.04,-0.04,2.1,1.0,-1.0,4868.0,60.0,60.0,4.575,0.032,-0.033,0.034,0.042,-0.043,0.736,0.02,0.02,0.782,0.018,0.027,8.12830516164,5.11920502384,-5.43519928132,9.91,0.212134262098,-0.479746571826,2.92,0.11,-0.11,1.604,0.137,0.137,0.0685472499755,0.00114968504138,-0.00114968504138,61.2629724718,10.4695184977,-10.4695184977,712.956515649,30.2599623416,-30.2599623416,1.013,1.0052,2.949,0.017,2.897,0.081,0.096
383,K00490,3239945,K00490.04,Kepler-167 d,CONFIRMED,21.8038763,0.0001268,-0.0001268,2454972.07,0.00497,-0.00497,0.7053,0.2522,-0.4764,3.388,0.152,-0.152,,,,258.0,15.8,-15.8,0.015719,0.004457,-0.001385,1.84758,2.88759,-1.67181,1.39,2.08,-0.13,0.1402,,,527.0,,,18.25,110.83,-4.7,35.9,14.0,-14.0,16.15021,17.9,4,,4978.0,151.0,-130.0,4.511,0.069,-0.778,0.07,0.27,-0.27,0.808,1.216,-0.074,0.772,0.131,-0.058,,,,stellar_q1_q16,14.023,12.446,11.974,11.832,False,4868.1,60.0,-60.0,4.572,0.1,-0.1,0.034,0.04,-0.04,2.1,1.0,-1.0,4868.0,60.0,60.0,4.575,0.032,-0.033,0.034,0.042,-0.043,0.736,0.02,0.02,0.782,0.018,0.027,8.12830516164,5.11920502384,-5.43519928132,9.91,0.212134262098,-0.479746571826,2.92,0.11,-0.11,1.262,0.238,0.238,0.14080928624,0.00235600948438,-0.00235600948438,14.524650826,2.49197599665,-2.49197599665,497.496410151,21.279051492,-21.279051492,1.013,1.0052,2.949,0.017,2.897,0.081,0.096
392,K00505,5689351,K00505.01,Kepler-169 e,CONFIRMED,13.76708539,3.103e-05,-3.103e-05,2455007.813,0.00175,-0.00175,0.829,0.0361,-0.5713,2.9957,0.0722,-0.0722,,,,657.4,17.8,-17.8,0.026779,0.000391,-0.003521,0.96318,3.44417,-0.58334,2.75,2.64,-0.36,0.1065,,,678.0,,,49.82,170.5,-16.18,21.29,9.5,-9.5,35.796192,41.3,5,,5173.0,183.0,-149.0,4.422,0.116,-0.527,0.26,0.18,-0.24,0.939,0.903,-0.121,0.85,0.119,-0.056,,,,stellar_q1_q16,14.194,12.729,12.283,12.186,False,5046.2,60.0,-60.0,4.605,0.1,-0.1,0.171,0.04,-0.04,2.7,1.0,-1.0,5046.0,60.0,60.0,4.55,0.036,-0.044,0.16,0.042,-0.042,0.727,0.02,0.019,0.825,0.007,0.013,6.91830970919,5.42864223611,-4.57212210568,9.84,0.251559757861,-0.46963726421,2.275,0.095,-0.104,2.124,0.165,0.165,0.106163717953,0.00175970684528,-0.00175970684528,33.6441313408,5.74901881562,-5.74901881562,613.749082624,26.1502555914,-26.1502555914,1.0,1.0003,2.484,0.018,2.215,0.067,0.083
391,K00505,5689351,K00505.02,Kepler-169 c,CONFIRMED,6.19543693,2.503e-05,-2.503e-05,2454967.719,0.00331,-0.00331,0.0826,0.345,-0.0826,2.745,0.114,-0.114,,,,258.3,12.3,-12.3,0.014316,0.000584,-0.000455,2.61327,0.18681,-0.97734,1.47,1.41,-0.19,0.0626,,,884.0,,,144.2,493.48,-46.84,17.44,1.2,-1.2,20.696665,23.8,5,,5173.0,183.0,-149.0,4.422,0.116,-0.527,0.26,0.18,-0.24,0.939,0.903,-0.121,0.85,0.119,-0.056,,,,stellar_q1_q16,14.194,12.729,12.283,12.186,False,5046.2,60.0,-60.0,4.605,0.1,-0.1,0.171,0.04,-0.04,2.7,1.0,-1.0,5046.0,60.0,60.0,4.55,0.036,-0.044,0.16,0.042,-0.042,0.727,0.02,0.019,0.825,0.007,0.013,6.91830970919,5.42864223611,-4.57212210568,9.84,0.251559757861,-0.46963726421,2.275,0.095,-0.104,1.137,0.051,0.051,0.0623308423084,0.0010318125891,-0.0010318125891,97.5600031809,16.6758303027,-16.6758303027,800.90587158,33.9836897521,-33.9836897521,1.0,1.0003,2.484,0.018,2.215,0.067,0.083
393,K00505,5689351,K00505.03,Kepler-169 b,CONFIRMED,3.25058053,1.166e-05,-1.166e-05,2454966.696,0.00282,-0.00282,0.2259,0.2489,-0.2259,2.161,0.102,-0.102,,,,198.7,10.6,-10.6,0.012646,0.000728,-0.000368,2.62345,0.59773,-0.97417,1.3,1.24,-0.17,0.0407,,,1096.0,,,341.13,1167.42,-110.81,11.36,2.6,-2.6,19.895893,22.9,5,,5173.0,183.0,-149.0,4.422,0.116,-0.527,0.26,0.18,-0.24,0.939,0.903,-0.121,0.85,0.119,-0.056,,,,stellar_q1_q16,14.194,12.729,12.283,12.186,False,5046.2,60.0,-60.0,4.605,0.1,-0.1,0.171,0.04,-0.04,2.7,1.0,-1.0,5046.0,60.0,60.0,4.55,0.036,-0.044,0.16,0.042,-0.042,0.727,0.02,0.019,0.825,0.007,0.013,6.91830970919,5.42864223611,-4.57212210568,9.84,0.251559757861,-0.46963726421,2.275,0.095,-0.104,1.003,0.051,0.051,0.0405501804745,0.000678566769516,-0.000678566769516,230.481260646,39.6554479359,-39.6554479359,992.938685123,42.5566244546,-42.5566244546,1.0,1.0003,2.484,0.018,2.215,0.067,0.083
