star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
4141,11.7641589,1.99159451,0.15613402291666667,1.0,1.0,1.0,2,6.544728888937708
4215,12.8451525,2.21367699,0.15948074041666668,1.0,1.0,1.0,2,5.95658216332881
4215,32.7675847,2.11621404,0.27309026208333337,1.0,1.0,1.0,2,6.658964282913305
4223,20.7254541,1.35759559,0.17261698,1.0,1.0,1.0,2,2.213174594550067
4223,30.5400586,2.1444522,0.19971660375,1.0,1.0,1.0,2,5.5816887579251775
4297,6.58453804,1.49767233,0.16204709,1.0,1.0,1.0,3,3.5437631761089974
4297,29.4757212,2.09666435,0.25558000875000003,1.0,1.0,1.0,3,5.263813529474797
4297,52.2172275,2.5961089,0.32593138541666666,1.0,1.0,1.0,3,5.683194594354957
4661,14.6970943,1.72811575,0.18851407083333335,1.0,1.0,1.0,2,5.053982419950858
4661,26.4141002,2.98934101,0.19388701625000002,1.0,1.0,1.0,2,9.34764528496893
4901,18.8848836,2.68871897,0.22906446125000002,1.0,1.0,1.0,3,5.749978819025113
4901,41.5464875,2.5424563,0.27778363833333336,1.0,1.0,1.0,3,5.658764604277816
4901,91.8988765,3.4101772,0.22968940916666666,1.0,1.0,1.0,3,10.97657928967958
5134,1.80603341,1.21078785,0.1031687175,1.0,1.0,1.0,3,2.269323171034549
5134,3.94476252,1.49079293,0.12078573999999999,1.0,1.0,1.0,3,3.7148305211848403
5134,6.05743772,1.06113545,0.13784852541666667,1.0,1.0,1.0,3,1.2020960452663823
5162,2.85205679,1.60764811,0.12375008166666666,1.0,1.0,1.0,6,5.013865549069854
5162,5.15455505,2.1881522,0.08403818,1.0,1.0,1.0,6,6.756252918158296
5162,7.87255222,2.13489046,0.09065036708333334,1.0,1.0,1.0,6,7.394622891706838
5162,15.8210763,2.73895562,0.14195947125,1.0,1.0,1.0,6,6.676596293498253
5162,23.7339464,3.57479131,0.2539477041666667,1.0,1.0,1.0,6,12.662993494040439
5162,38.8028551,5.72934372,0.17647549583333333,1.0,1.0,1.0,6,34.30629233745515
