# starID,Period_days,Radius_earth,Duration_hours
1022,8.91740174e+00,1.02479549e+00,0.00000000e+00
1022,1.57791535e+01,1.18458283e+00,0.00000000e+00
1022,2.91947159e+01,1.04369203e+00,0.00000000e+00
1022,6.52304657e+01,1.55611768e+00,0.00000000e+00
1022,1.00258244e+02,1.26054986e+00,0.00000000e+00
1060,5.54986783e+00,8.18767908e-01,3.56342056e+00
1060,2.59646721e+01,1.38704115e+00,0.00000000e+00
1060,3.55639592e+01,2.33807106e+00,0.00000000e+00
1060,6.31761320e+01,2.31598287e+00,0.00000000e+00
1060,1.37384704e+02,2.73813418e+00,0.00000000e+00
1060,1.76852923e+02,1.95803525e+00,0.00000000e+00
1060,3.70872153e+02,2.43480507e+00,0.00000000e+00
1095,6.21307736e+00,1.37152600e+00,0.00000000e+00
1095,1.11218746e+01,2.03288445e+00,3.38496342e+00
1095,2.25224956e+01,1.28724746e+00,0.00000000e+00
1095,3.15677446e+01,1.26749613e+00,0.00000000e+00
1095,6.94322531e+01,1.94833568e+00,0.00000000e+00
1095,1.39773238e+02,1.55370177e+00,0.00000000e+00
1095,2.17221259e+02,9.62109325e-01,0.00000000e+00
1095,6.97907360e+02,1.33907838e+00,0.00000000e+00
1096,7.58424309e+00,1.40010012e+00,0.00000000e+00
1096,1.34940200e+01,2.33914911e+00,0.00000000e+00
1096,2.93366098e+01,3.51743329e+00,6.54714850e+00
1096,5.12330921e+01,2.80574855e+00,0.00000000e+00
1096,8.57517792e+01,3.62433378e+00,0.00000000e+00
1096,3.20313877e+02,4.22803827e+00,0.00000000e+00
1096,5.59229580e+02,4.21718103e+00,0.00000000e+00
1101,3.84632204e+00,2.28322571e+00,2.72809446e+00
1101,7.55459797e+00,3.89327812e+00,0.00000000e+00
1101,1.34427445e+01,5.38928887e+00,0.00000000e+00
1101,2.24106219e+01,4.00902723e+00,0.00000000e+00
1101,3.65918059e+01,4.73094756e+00,0.00000000e+00
1101,6.19404556e+01,3.51685013e+00,0.00000000e+00
1101,8.65187731e+01,2.96646293e+00,1.73108620e+00
1101,2.55375655e+02,2.31783479e+00,0.00000000e+00
1101,3.90052707e+02,3.07155263e+00,0.00000000e+00
1101,7.05282111e+02,4.50727999e+00,0.00000000e+00
1107,6.49017541e-01,4.25327581e-01,1.38183820e+00
1107,9.29561773e-01,5.18020134e-01,1.42186350e+00
1107,1.59096925e+00,4.18299693e-01,0.00000000e+00
1107,2.37387728e+00,4.00980380e-01,0.00000000e+00
1107,4.53575279e+00,3.41327854e-01,0.00000000e+00
1107,1.08368847e+01,2.23913253e-01,0.00000000e+00
1107,1.65802375e+01,1.33360614e-01,0.00000000e+00
1107,9.35558604e+01,1.33895451e-01,0.00000000e+00
1107,3.12927957e+02,1.01072194e-01,0.00000000e+00
1107,6.39572263e+02,8.29326462e-02,0.00000000e+00
1148,9.57800764e+00,1.82028690e+00,0.00000000e+00
1148,2.78388784e+01,1.64494852e+00,0.00000000e+00
1148,5.51786020e+01,1.71899771e+00,0.00000000e+00
1148,1.27478238e+02,2.86066869e+00,6.96465667e+00
1148,3.77020865e+02,3.34318525e+00,0.00000000e+00
1201,8.11059840e+00,2.45771770e+00,0.00000000e+00
1201,1.31328821e+01,1.88256851e+00,4.08824760e+00
1201,2.05592771e+01,3.63829154e+00,0.00000000e+00
1201,4.14549771e+01,2.68922281e+00,0.00000000e+00
1201,6.82664985e+01,2.95480806e+00,0.00000000e+00
1201,8.96312590e+01,2.70197457e+00,0.00000000e+00
1201,1.47593066e+02,1.93058009e+00,0.00000000e+00
1317,5.91517907e+00,4.18799653e-01,3.46286591e+00
1317,9.74244492e+00,6.61875720e-01,0.00000000e+00
1317,2.12222924e+01,7.58580789e-01,0.00000000e+00
1317,7.84976764e+01,5.37836650e-01,0.00000000e+00
1317,2.62393111e+02,6.40515152e-01,0.00000000e+00
1317,3.48032104e+02,3.87312201e-01,0.00000000e+00
1317,6.89438754e+02,2.94855335e-01,0.00000000e+00
1334,7.08707657e+00,1.37369434e+00,3.20593640e+00
1334,1.16463122e+01,2.92653047e+00,0.00000000e+00
1334,2.83581194e+01,2.47176871e+00,0.00000000e+00
1334,4.45694990e+01,1.49981436e+00,0.00000000e+00
1334,1.14205697e+02,1.48398836e+00,0.00000000e+00
1334,3.83344655e+02,1.65559663e+00,0.00000000e+00
1334,5.20091160e+02,1.23853535e+00,0.00000000e+00
1343,1.37780685e+00,5.15792709e-01,0.00000000e+00
1343,2.47740947e+00,7.07417777e-01,0.00000000e+00
1343,5.43910218e+00,7.29519490e-01,0.00000000e+00
