target_id,star_id,planet_mass,planet_radius,clusterid,period,ecc,star_mass,star_radius,npl
15678.0,28887.0,7.773889090838562e-05,0.010020071302137742,1.0,289.47778015026034,0.032585264813579894,0.875,1.0913652,4
15691.0,78131.0,3.491193386514705e-07,0.005140926877597906,1.0,16.27235873554139,0.016796515764291337,0.876,1.4047174,4
15691.0,78131.0,1.836990112326975e-05,0.02189393299778975,1.0,23.888916528133745,0.04267583344081734,0.876,1.4047174,4
15691.0,78131.0,8.859586896476317e-07,0.008923666596819773,1.0,106.50814153476715,0.019553536421071882,0.876,1.4047174,4
15691.0,78131.0,2.6996050942860176e-06,0.009705769780638442,1.0,135.93853941016522,0.023701185525929494,0.876,1.4047174,4
15698.0,8397.0,6.471616612824013e-05,0.015759039696786593,1.0,4.036004773091383,0.024652116608572656,0.772,0.7167324,7
15698.0,8397.0,1.1145431004077517e-05,0.023584863711613634,1.0,8.198220890436113,0.00879712322991675,0.772,0.7167324,7
15698.0,8397.0,3.4941716888209114e-06,0.009264032581750388,1.0,11.620733995745933,0.016634275095560463,0.772,0.7167324,7
15698.0,8397.0,2.5378903089926568e-05,0.01811371210178875,1.0,22.022229967595557,0.02514764602089855,0.772,0.7167324,7
15698.0,8397.0,2.0576596989010087e-05,0.02553690913120498,1.0,73.37339207282284,0.016949388507627384,0.772,0.7167324,7
15698.0,8397.0,1.3090122244434654e-05,0.021863989921409907,2.0,191.10958893353103,0.034721342209880095,0.772,0.7167324,7
15698.0,8397.0,9.906053116056737e-06,0.018959499820728577,1.0,288.8238858425147,0.016613927804518046,0.772,0.7167324,7
15704.0,37253.0,2.3175039761195703e-05,0.02162303930420869,1.0,5.737605792965101,0.014346979810842228,0.903,1.0402195,4
15704.0,37253.0,1.8658420119006776e-05,0.029474813743632776,1.0,18.654189999329244,0.024206672150638802,0.903,1.0402195,4
15704.0,37253.0,4.03596387112178e-06,0.021113153583620887,1.0,51.718272259350606,0.024422276208036258,0.903,1.0402195,4
15704.0,37253.0,2.055061627519304e-05,0.018948366154502516,1.0,139.55658012325122,0.012265103855656457,0.903,1.0402195,4
15713.0,4207.0,7.075892038223759e-06,0.02181740849337721,1.0,3.748776970197422,0.030498295385810777,1.069,1.2191031,6
15713.0,4207.0,1.126465695434924e-05,0.024240049473168483,1.0,5.583996783114387,0.01687944713526667,1.069,1.2191031,6
15713.0,4207.0,2.131890000853909e-05,0.021365967999367314,1.0,10.061762275386641,0.03225883286548966,1.069,1.2191031,6
15713.0,4207.0,9.386499701201282e-06,0.02247315921479892,1.0,14.28216942984376,0.007391847086864623,1.069,1.2191031,6
15713.0,4207.0,5.4833097770626435e-05,0.022881635265252963,1.0,38.187567574819,0.03798024381013406,1.069,1.2191031,6
15713.0,4207.0,6.844493865931455e-06,0.014201838177947899,1.0,153.99380089582996,0.0142410929261144,1.069,1.2191031,6
15784.0,55228.0,3.2407216477962287e-07,0.005296264810451653,1.0,24.874931180885547,0.032266265158425324,0.912,0.8544489,3
15784.0,55228.0,3.3168623178451087e-07,0.006126145917074079,1.0,44.443679420431465,0.041272884005076386,0.912,0.8544489,3
15784.0,55228.0,3.622911922637321e-07,0.005488838027507784,1.0,94.37114951597715,0.006141882906788086,0.912,0.8544489,3
15815.0,38479.0,2.1831316211917153e-05,0.013671987819290897,1.0,5.091022966777348,0.026671168429103376,1.079,1.5456483,6
15815.0,38479.0,2.5437015841192802e-05,0.014325334794644047,1.0,12.71171311232296,0.02531448774535064,1.079,1.5456483,6
15815.0,38479.0,4.598355989391972e-05,0.016977930222051244,1.0,26.59997148342057,0.02989840964609272,1.079,1.5456483,6
15815.0,38479.0,3.707745233596917e-05,0.024373322090329053,1.0,70.67972363924368,0.034964186604847174,1.079,1.5456483,6
15815.0,38479.0,6.382668770731431e-06,0.012243423068736332,1.0,181.81917369444145,0.003422427490476947,1.079,1.5456483,6
15815.0,38479.0,9.035872457012042e-06,0.010054051594287282,2.0,287.0928555706187,0.01562728576466294,1.079,1.5456483,6
15836.0,67307.0,5.035016599653872e-06,0.010551959348629193,1.0,10.942784812492171,0.021880774047684556,0.715,1.0688838,6
15836.0,67307.0,2.4028148358284616e-06,0.008219429986892601,1.0,16.23413574500171,0.021083927878146377,0.715,1.0688838,6
15836.0,67307.0,7.129273131662335e-06,0.038910436696532553,2.0,29.60163722555203,0.0299486018567633,0.715,1.0688838,6
15836.0,67307.0,9.399490782031557e-06,0.00977384086565675,1.0,49.94136301923166,0.017290239916986673,0.715,1.0688838,6
