star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
984,21.9142121,1.10712831,0.0,1.0,1.0,1.0,7,0.9825336335606084
984,55.297849,0.774163041,0.0,1.0,1.0,1.0,7,0.49938858736412745
984,85.955677,0.458652369,0.0,1.0,1.0,1.0,7,0.10960425229961687
984,143.315769,0.510357305,0.0,1.0,1.0,1.0,7,0.11341988495752713
984,245.688595,0.432454594,0.0,1.0,1.0,1.0,7,0.10699538429640158
1060,25.9646721,1.38704115,0.0,1.0,1.0,1.0,7,2.7466207985775686
1060,35.5639592,2.33807106,0.0,1.0,1.0,1.0,7,5.343280211444623
1060,63.176132,2.31598287,0.0,1.0,1.0,1.0,7,4.97013198857044
1060,137.384704,2.73813418,0.0,1.0,1.0,1.0,7,5.534376492384048
1060,176.852923,1.95803525,0.0,1.0,1.0,1.0,7,6.330855866395515
1060,370.872153,2.43480507,0.0,1.0,1.0,1.0,7,4.364650927243181
1095,6.21307736,1.371526,0.0,1.0,1.0,1.0,7,2.731767311190332
1095,22.5224956,1.28724746,0.0,1.0,1.0,1.0,7,2.861257837314803
1095,31.5677446,1.26749613,0.0,1.0,1.0,1.0,7,2.2736394439379723
1095,69.4322531,1.94833568,0.0,1.0,1.0,1.0,7,5.2287665731015895
1095,139.773238,1.55370177,0.0,1.0,1.0,1.0,7,6.219860913536188
1095,217.221259,0.962109325,0.0,1.0,1.0,1.0,7,0.7868202604086134
1096,7.58424309,1.40010012,0.0,1.0,1.0,1.0,6,1.3576228640788317
1096,13.49402,2.33914911,0.0,1.0,1.0,1.0,6,6.154555826405462
1096,51.2330921,2.80574855,0.0,1.0,1.0,1.0,6,5.067809288369292
1096,85.7517792,3.62433378,0.0,1.0,1.0,1.0,6,13.691943927929653
1096,320.313877,4.22803827,0.0,1.0,1.0,1.0,6,19.666304658057957
1101,7.55459797,3.89327812,0.0,1.0,1.0,1.0,9,14.449449665657706
1101,13.4427445,5.38928887,0.0,1.0,1.0,1.0,9,31.9905873044657
1101,22.4106219,4.00902723,0.0,1.0,1.0,1.0,9,18.917124365852636
1101,36.5918059,4.73094756,0.0,1.0,1.0,1.0,9,25.51497548278257
1101,61.9404556,3.51685013,0.0,1.0,1.0,1.0,9,5.5989145289755005
1101,86.5187731,2.96646293,0.07212859166666667,1.0,1.0,1.0,9,7.559358508696622
1101,255.375655,2.31783479,0.0,1.0,1.0,1.0,9,5.0273612529538445
1101,390.052707,3.07155263,0.0,1.0,1.0,1.0,9,5.944110623549275
1148,9.57800764,1.8202869,0.0,1.0,1.0,1.0,5,5.553793001849704
1148,27.8388784,1.64494852,0.0,1.0,1.0,1.0,5,4.339297382542977
1148,55.178602,1.71899771,0.0,1.0,1.0,1.0,5,4.899426623353905
1148,377.020865,3.34318525,0.0,1.0,1.0,1.0,5,12.216114748471725
1201,8.1105984,2.4577177,0.0,1.0,1.0,1.0,7,7.1500469146126076
1201,20.5592771,3.63829154,0.0,1.0,1.0,1.0,7,14.574117609086493
1201,41.4549771,2.68922281,0.0,1.0,1.0,1.0,7,5.666888992303163
1201,68.2664985,2.95480806,0.0,1.0,1.0,1.0,7,7.811348816962282
1201,89.631259,2.70197457,0.0,1.0,1.0,1.0,7,5.349678668730943
1201,147.593066,1.93058009,0.0,1.0,1.0,1.0,7,6.4449581490255
