# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.10536051565782628
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.3506671834767394
# max_planets_in_clusters: 10
# power_law_P: 0.4
# min_period: 3.0
# max_period: 300.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.42
# sigma_incl: 48.0
# sigma_incl_near_mmr: 1.4
# sigma_hk: 0.02
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.31
# sigma_logperiod_per_pl_in_cluster: 0.21
#
target_id,star_id,star_mass,star_radius,num_obs_planets
17647.0,62217.0,0.925,0.9541359,1.0
17720.0,11754.0,1.006,1.3957222,1.0
17765.0,34586.0,0.746,0.8008887,1.0
17848.0,2188.0,1.376,1.1050947,1.0
17884.0,16236.0,1.117,0.9501159,1.0
18011.0,43291.0,0.939,0.8967655,1.0
18053.0,15139.0,0.965,1.0948061,1.0
18064.0,47160.0,1.097,1.3261796,1.0
18135.0,23666.0,0.93,1.2985375,1.0
18141.0,20263.0,0.864,1.0489993,1.0
18171.0,20203.0,1.029,0.974618,1.0
18227.0,5263.0,0.977,1.0968672,1.0
18276.0,17634.0,0.76,0.91261446,1.0
18285.0,36743.0,0.733,0.68597233,1.0
18295.0,49523.0,1.016,1.3984524,1.0
18308.0,69028.0,1.011,0.8497082,1.0
18386.0,43274.0,0.868,1.2414418,1.0
18424.0,50652.0,0.889,0.7841688,1.0
18425.0,17822.0,0.789,0.7862612,1.0
18497.0,60976.0,0.923,1.166657,1.0
18515.0,68245.0,0.711,0.65861523,1.0
18523.0,72773.0,0.973,1.3289833,1.0
18540.0,40060.0,0.827,1.2576712,1.0
18554.0,62229.0,1.147,1.8656646,1.0
18601.0,76953.0,1.032,1.1438395,1.0
18739.0,34679.0,1.06,1.4944303,1.0
18889.0,4965.0,0.925,0.8841294,1.0
18915.0,60156.0,0.84,1.0594991,1.0
19457.0,44626.0,0.99,1.1463176,1.0
19464.0,55155.0,0.926,1.1821715,1.0
19510.0,29188.0,1.143,1.4557097,1.0
19515.0,20158.0,0.624,0.9781963,1.0
19575.0,74875.0,0.894,1.308118,1.0
19592.0,49291.0,1.048,0.9090148,1.0
19616.0,38632.0,0.853,1.0979576,1.0
19631.0,16538.0,1.151,1.5659385,1.0
19679.0,71200.0,1.053,1.2629844,1.0
19741.0,39704.0,0.842,1.0084087,1.0
19770.0,71269.0,0.794,0.797673,1.0
19874.0,9794.0,1.122,1.1683261,1.0
20089.0,1758.0,1.369,1.1658535,1.0
20098.0,40760.0,0.677,0.7164287,1.0
20131.0,26285.0,0.944,1.0463237,1.0
20332.0,3788.0,1.2,1.3703063,1.0
20483.0,32834.0,0.764,0.9036641,1.0
20497.0,50508.0,1.125,1.3182441,1.0
20631.0,31158.0,0.801,1.0571986,1.0
20647.0,69430.0,1.117,1.2256038,1.0
20851.0,6469.0,0.887,0.82093394,1.0
21086.0,41593.0,1.006,1.2904878,1.0
21171.0,20802.0,0.704,0.78703475,1.0
21258.0,64975.0,1.049,0.86383444,1.0
21274.0,17960.0,0.865,0.8311639,1.0
21514.0,79397.0,0.639,1.0445035,1.0
21556.0,1359.0,1.316,1.4827336,1.0
21777.0,14468.0,0.842,1.1821979,1.0
21894.0,62554.0,0.996,1.1993204,1.0
21936.0,42487.0,0.51,0.5702438,1.0
21963.0,33454.0,1.462,1.0818549,1.0
21965.0,17656.0,0.819,0.67795134,1.0
21994.0,49717.0,1.048,0.99052984,1.0
22043.0,54079.0,0.953,1.0630213,1.0
22064.0,49843.0,0.863,0.9713287,1.0
22163.0,19848.0,0.929,0.89110726,1.0
22360.0,1625.0,0.736,0.88376325,1.0
22423.0,50948.0,0.773,1.2831011,1.0
22495.0,27814.0,1.0,0.9506123,1.0
22608.0,57728.0,0.811,0.788246,1.0
22615.0,44744.0,0.797,0.64669675,1.0
22783.0,54895.0,0.867,0.8050445,1.0
22842.0,42616.0,1.087,1.3964852,1.0
22932.0,21737.0,0.845,0.8326805,1.0
22940.0,78146.0,0.688,0.6239342,1.0
23034.0,13749.0,0.971,1.0596762,1.0
23091.0,7549.0,1.122,1.3558202,1.0
23392.0,43441.0,0.751,0.88518596,1.0
23513.0,59024.0,1.233,1.0610718,1.0
23561.0,25114.0,0.86,1.2547005,1.0
23623.0,29175.0,1.017,1.2573662,1.0
23636.0,19241.0,0.809,0.8500991,1.0
23643.0,53295.0,1.034,1.5292225,1.0
23700.0,74982.0,0.912,1.313087,1.0
23781.0,19992.0,0.939,1.2870164,1.0
23785.0,30966.0,1.15,1.421882,1.0
23836.0,72788.0,0.917,1.0790554,1.0
23956.0,17180.0,0.812,0.7535428,1.0
24016.0,63190.0,1.016,1.2450087,1.0
24045.0,48000.0,0.95,1.0693228,1.0
24064.0,56427.0,1.093,1.1022928,1.0
24172.0,18675.0,1.07,1.3605585,1.0
24208.0,7508.0,1.07,0.9395169,1.0
24320.0,37158.0,1.497,0.99729717,1.0
24329.0,35507.0,1.111,1.2604938,1.0
24341.0,72360.0,0.861,1.0496312,1.0
24495.0,67501.0,0.57,0.6106337,1.0
24514.0,46309.0,1.041,1.2395215,1.0
24531.0,26035.0,1.181,1.2512975,1.0
24577.0,25494.0,0.634,0.5982662,1.0
24642.0,41945.0,0.915,1.2370574,1.0
24715.0,11802.0,0.73,0.75995964,1.0
24733.0,18024.0,1.026,1.5276185,1.0
24781.0,18309.0,0.912,0.764556,1.0
24825.0,41272.0,0.785,0.9954154,1.0
24899.0,66415.0,0.697,0.5732423,1.0
24948.0,28489.0,1.711,1.5548428,1.0
25012.0,71694.0,1.321,1.5254735,1.0
25094.0,18105.0,1.489,1.381597,1.0
25153.0,13334.0,1.208,1.9205033,1.0
25212.0,12570.0,0.954,0.95776886,1.0
25219.0,26477.0,0.875,0.86288834,1.0
25446.0,8582.0,0.647,0.61607283,1.0
25456.0,49044.0,0.893,0.75599515,1.0
25474.0,4907.0,1.014,1.2944803,1.0
25604.0,67032.0,0.96,0.9947961,1.0
25615.0,11632.0,1.11,1.2842935,1.0
25711.0,62065.0,1.079,1.3158864,1.0
25784.0,56184.0,0.707,0.7277069,1.0
25836.0,50299.0,0.54,0.6406561,1.0
25869.0,50559.0,1.156,1.2579033,1.0
26016.0,45949.0,0.778,0.7657549,1.0
26091.0,50109.0,0.978,1.0384679,1.0
26275.0,38818.0,1.027,1.2556634,1.0
26322.0,48787.0,1.232,1.463861,1.0
26363.0,41541.0,0.903,0.80629945,1.0
26371.0,28016.0,1.008,1.2626247,1.0
26473.0,7721.0,0.741,0.68611455,1.0
26512.0,77700.0,0.598,0.70612496,1.0
26641.0,53310.0,1.157,1.5415978,1.0
26692.0,62550.0,0.975,0.9459281,1.0
26710.0,66242.0,1.06,1.129335,1.0
26754.0,57916.0,0.959,1.0352888,1.0
26790.0,69568.0,0.956,1.3006848,1.0
26832.0,21514.0,0.724,0.5991478,1.0
26854.0,26661.0,0.761,0.8786973,1.0
26975.0,44343.0,1.126,1.2280437,1.0
27010.0,72136.0,1.077,1.4591781,1.0
27028.0,47215.0,1.233,1.4560386,1.0
27105.0,39265.0,0.609,0.53236234,1.0
27123.0,71100.0,0.83,0.86253375,1.0
27125.0,23863.0,0.887,1.4101068,1.0
27165.0,1269.0,1.241,1.4381021,1.0
27597.0,59252.0,0.736,0.71723664,1.0
27605.0,77335.0,1.161,1.0630562,1.0
27702.0,2386.0,1.132,1.0048712,1.0
27703.0,46088.0,1.038,0.9011986,1.0
27704.0,13153.0,1.02,1.2306837,1.0
27776.0,1968.0,0.947,0.86340183,1.0
27827.0,44750.0,0.823,0.8376841,1.0
27857.0,36688.0,1.041,0.9173215,1.0
28042.0,34327.0,0.992,1.3028717,1.0
28091.0,48366.0,1.083,1.5586766,1.0
28098.0,42879.0,0.902,1.0711167,1.0
28103.0,48360.0,0.92,1.050194,1.0
28194.0,33303.0,0.945,1.1999632,1.0
28234.0,16243.0,1.153,1.3900042,1.0
28288.0,4373.0,0.735,0.6278299,1.0
28351.0,64947.0,0.913,1.2382138,1.0
28390.0,21438.0,0.941,1.3781346,1.0
28399.0,45586.0,1.203,1.2578918,1.0
28400.0,13950.0,0.902,1.0226133,1.0
28447.0,39646.0,0.859,1.3567041,1.0
28503.0,235.0,0.625,0.7507822,1.0
28537.0,65913.0,0.965,1.015912,1.0
28575.0,59509.0,0.88,0.8371026,1.0
28732.0,72560.0,1.369,1.4260128,1.0
28791.0,60737.0,1.028,1.2450986,1.0
28859.0,11360.0,1.088,1.7364874,1.0
28876.0,35524.0,0.569,0.8048446,1.0
28981.0,26582.0,1.028,1.1645236,1.0
29005.0,67927.0,0.824,0.91377413,1.0
29088.0,4873.0,0.917,0.88616717,1.0
29163.0,23481.0,1.048,0.9551863,1.0
29185.0,26558.0,0.974,1.3732291,1.0
29237.0,6105.0,1.04,1.276274,1.0
29339.0,69416.0,0.819,0.81737655,1.0
29340.0,78647.0,0.801,0.7459518,1.0
29354.0,61485.0,0.683,0.72547024,1.0
29393.0,4121.0,0.791,0.7706666,1.0
29504.0,67373.0,0.744,1.1136464,1.0
29510.0,5647.0,1.117,1.1729712,1.0
29625.0,21013.0,0.919,1.030766,1.0
29706.0,61182.0,0.868,0.9360042,1.0
29715.0,52493.0,0.773,0.7581579,1.0
29743.0,15705.0,0.632,0.69837666,1.0
29808.0,51050.0,0.607,0.5806945,1.0
29825.0,39952.0,0.901,1.0979271,1.0
29856.0,53443.0,1.026,1.3678979,1.0
29889.0,58946.0,0.954,1.0430984,1.0
29942.0,42528.0,1.09,1.3930054,1.0
29988.0,64109.0,0.945,1.2812488,1.0
30007.0,24757.0,1.185,1.68676,1.0
30044.0,47404.0,0.93,1.1461209,1.0
30128.0,57599.0,0.928,0.80648535,1.0
30158.0,75110.0,1.151,1.4286804,1.0
30218.0,49665.0,0.71,0.7973105,1.0
30220.0,44879.0,0.835,1.1458362,1.0
30344.0,61085.0,1.178,1.5172923,1.0
30451.0,55593.0,1.582,1.6921244,1.0
30494.0,5892.0,0.796,0.8542173,1.0
30562.0,24704.0,0.975,1.3470639,1.0
30715.0,56122.0,1.45,0.79854643,1.0
30721.0,9931.0,0.901,0.90692115,1.0
30914.0,54076.0,0.594,0.7319357,1.0
30924.0,57607.0,0.638,0.9134743,1.0
30928.0,13256.0,0.928,0.7975224,1.0
30933.0,73608.0,0.795,0.67409515,1.0
30934.0,63528.0,1.066,1.4253869,1.0
31057.0,58541.0,0.871,1.1075816,1.0
31309.0,42973.0,0.92,0.97836006,1.0
31313.0,5009.0,1.077,1.6029352,1.0
31338.0,8763.0,1.09,1.0779787,1.0
31481.0,3410.0,1.065,1.2157204,1.0
31564.0,28887.0,0.875,1.0913652,1.0
31648.0,25523.0,0.941,1.118297,1.0
31745.0,2312.0,1.126,1.1334261,1.0
31757.0,69861.0,0.759,1.3183646,1.0
31887.0,34199.0,1.019,1.1027786,1.0
31996.0,60599.0,1.061,1.3035135,1.0
32007.0,75168.0,1.023,1.4749843,1.0
32050.0,56413.0,0.876,0.82788885,1.0
32261.0,32688.0,0.975,1.0075942,1.0
32316.0,37555.0,0.845,1.0915842,1.0
32334.0,53084.0,0.934,1.4398773,1.0
32392.0,29389.0,0.848,1.1499054,1.0
32440.0,53924.0,1.032,1.4520979,1.0
32458.0,30737.0,0.691,0.56254524,1.0
32504.0,34917.0,0.934,0.9551029,1.0
32540.0,69877.0,0.996,0.9728635,1.0
32617.0,1386.0,1.18,0.92664796,1.0
32674.0,76186.0,0.815,0.72548443,1.0
32775.0,15719.0,1.123,0.9504877,1.0
32841.0,12369.0,1.052,1.4601125,1.0
32850.0,70434.0,0.727,1.2653197,1.0
32870.0,61673.0,0.927,1.1820832,1.0
32919.0,76244.0,0.782,0.90015894,1.0
32965.0,36635.0,1.134,1.5167018,1.0
33222.0,13501.0,1.033,0.8474624,1.0
33349.0,55525.0,0.774,0.85714656,1.0
33386.0,60587.0,0.874,0.94030416,1.0
33411.0,42097.0,0.627,0.7066603,1.0
33418.0,36679.0,1.148,1.0249982,1.0
33447.0,47726.0,0.95,0.80509734,1.0
33513.0,19050.0,1.283,1.496401,1.0
33537.0,73914.0,1.016,1.1166438,1.0
33561.0,68924.0,1.083,1.0301484,1.0
33724.0,22814.0,2.05,0.788371,1.0
33739.0,51948.0,0.937,1.0538058,1.0
33742.0,61850.0,0.773,1.1807555,1.0
33750.0,3534.0,0.772,1.1014471,1.0
33804.0,71710.0,0.664,0.65026224,1.0
33871.0,17283.0,0.783,0.6119093,1.0
34075.0,74017.0,0.966,1.3979172,1.0
34113.0,21096.0,1.019,0.9360503,1.0
34116.0,32983.0,0.822,0.6997754,1.0
34136.0,28114.0,0.965,1.0540342,1.0
34175.0,61112.0,0.916,1.1284618,1.0
34278.0,10159.0,0.979,0.87617564,1.0
34279.0,54876.0,0.801,0.73161215,1.0
34307.0,78566.0,1.059,0.97432786,1.0
34379.0,55915.0,1.01,0.7686409,1.0
34419.0,22321.0,0.77,0.6286131,1.0
34475.0,75771.0,0.972,1.1915728,1.0
34521.0,61032.0,1.01,0.9476786,1.0
34571.0,1148.0,1.037,1.3438609,1.0
34596.0,41666.0,0.855,1.0497675,1.0
34607.0,4834.0,1.106,1.7254432,1.0
34660.0,1988.0,0.556,0.5778754,1.0
34776.0,76289.0,1.043,1.2232317,1.0
34880.0,5044.0,0.87,0.84126765,1.0
34890.0,9802.0,1.131,1.1748991,1.0
35127.0,21160.0,1.102,1.1724359,1.0
35195.0,68742.0,0.94,0.7564087,1.0
35211.0,55688.0,1.014,1.011905,1.0
35212.0,34087.0,0.737,0.8828448,1.0
35247.0,79924.0,1.143,1.2118536,1.0
35320.0,53269.0,1.047,1.2349006,1.0
35525.0,74966.0,1.606,1.3506653,1.0
35739.0,31234.0,1.117,1.0475858,1.0
35801.0,25145.0,1.028,1.4166834,1.0
35839.0,40800.0,0.914,1.0248208,1.0
35842.0,77694.0,1.077,1.019837,1.0
35865.0,71657.0,0.968,1.3510239,1.0
35888.0,14643.0,1.014,1.320201,1.0
35923.0,49331.0,0.997,0.98022056,1.0
36087.0,17866.0,0.994,1.4591742,1.0
36186.0,31184.0,1.004,1.1098603,1.0
