target_id,star_id,planet_mass,planet_radius,clusterid,period,ecc,star_mass,star_radius,npl,radius,mass
1287.0,70308.0,7.901332046241161e-06,0.020177281768317144,1.0,13.642699352407314,0.05053742103938876,1.581,1.587674,5,2.192600655597876,6.834308026215014
1287.0,70308.0,1.733381092060171e-05,0.02067913691879448,1.0,19.947441806380745,0.024994698434872724,1.581,1.587674,5,2.3351698879302787,5.227666269296314
1287.0,70308.0,9.416174092320462e-05,0.02791176778889405,1.0,139.35291625684647,0.02805140347683505,1.581,1.587674,5,3.0611495658698002,6.234379491023871
1352.0,49553.0,8.093135515931086e-06,0.01323420377121665,1.0,3.046638394353856,0.015393695757749,0.811,0.85597706,8,1.4682389973471455,3.2696576955871155
1352.0,49553.0,5.194121749248321e-06,0.007693903233389647,1.0,10.203480165344926,0.03623807286533834,0.811,0.85597706,8,0.8478662184188969,0.5230459983967386
1352.0,49553.0,3.1315445772178863e-06,0.006678094154198115,1.0,45.234234605606844,0.018126414621583712,0.811,0.85597706,8,0.7178371217943881,0.3036663377576685
1352.0,49553.0,3.907636999391434e-06,0.008029308483915356,1.0,64.04048900079849,0.01036186071560438,0.811,0.85597706,8,0.9410483977551684,0.6978085801047054
1352.0,49553.0,7.779120292257086e-06,0.009780470113088833,1.0,90.93646825782731,0.04372884171009835,0.811,0.85597706,8,1.0401794277629626,0.9397932257704398
1352.0,49553.0,2.885639876612414e-06,0.007351509684241892,1.0,220.63483225619842,0.026227775042131272,0.811,0.85597706,8,0.7964195718370322,0.4386859655709569
1382.0,16854.0,3.010345134326267e-05,0.019303587425647428,1.0,4.273908420220531,0.027621531499233964,0.915,1.3970894,6,2.217487994498395,8.884152174139853
1382.0,16854.0,5.759688679376983e-06,0.013677013904134096,1.0,17.513932342024333,0.016847614061500482,0.915,1.3970894,6,1.670541564819849,4.73184415863613
1382.0,16854.0,2.795770047029773e-05,0.01991716872900939,1.0,29.4088677390806,0.02969129086329402,0.915,1.3970894,6,2.1238475290320324,6.538312105882557
1382.0,16854.0,1.2428907237284733e-05,0.021948749233584783,1.0,71.71271604715882,0.03303577414444633,0.915,1.3970894,6,2.4786614889368996,5.299792211766361
1382.0,16854.0,2.6528474317560337e-05,0.029450368920269285,1.0,190.6813621374835,0.05282827353452632,0.915,1.3970894,6,3.278844238986148,4.658182317253946
1422.0,16957.0,8.766708260350478e-06,0.019391735225269057,1.0,42.57043342848068,0.06439737918293119,0.936,0.6317106,2,2.137573229154129,5.653139698116819
1476.0,41473.0,2.74012791428235e-05,0.027345630498185267,2.0,16.53054232537501,0.018504590037179428,0.544,0.63680667,7,2.8562995776614453,7.09875041447817
1476.0,41473.0,4.785895460194181e-05,0.026545070668162092,2.0,29.256401283219798,0.005523685763848533,0.544,0.63680667,7,2.8793912500193626,6.0588289412159835
1476.0,41473.0,4.069116340245035e-07,0.005209999481336295,1.0,67.02369055466366,0.025294364146844217,0.544,0.63680667,7,0.5887056695545418,0.16643844954414982
1476.0,41473.0,4.0061690955668134e-07,0.005091454574427473,1.0,107.58728774537128,0.019157514423365843,0.544,0.63680667,7,0.5528240030611041,0.13782539330548366
1476.0,41473.0,3.271688323125173e-07,0.004822171449884899,1.0,148.060315423219,0.0375442175722526,0.544,0.63680667,7,0.5301177797753256,0.13189523529628314
1566.0,75428.0,2.0349730907682574e-05,0.013084337611393658,1.0,14.619301848173034,0.04288802614295785,1.003,0.9294006,7,1.3386645397319286,2.3800424446292574
1566.0,75428.0,1.63372967148402e-05,0.02266432651400184,1.0,23.689953883678736,0.04709643326351543,1.003,0.9294006,7,2.1874999086158198,6.273919278894992
1566.0,75428.0,9.376514015283904e-06,0.020244399810577685,1.0,37.416944297224354,0.031469037965008585,1.003,0.9294006,7,2.337841591588798,4.8474954547287545
1566.0,75428.0,1.0703998197974447e-05,0.02567053297776888,1.0,94.78337362177066,0.020808150203439173,1.003,0.9294006,7,2.776509919831001,4.814776666466895
1566.0,75428.0,2.842019377472775e-05,0.018363699366922944,1.0,141.7723422723441,0.019014921933301093,1.003,0.9294006,7,1.8326165495945816,3.9250667737219076
1566.0,75428.0,5.672420902908316e-06,0.016793282363500295,1.0,209.46497564270638,0.02432104000440773,1.003,0.9294006,7,1.8079172244254629,5.368879140663409
1575.0,13654.0,2.37019852940517e-05,0.019882880914609036,1.0,27.786971503556156,0.019831935473485596,1.09,1.0873177,3,2.518567227099824,6.412085431451857
1575.0,13654.0,6.35436881800317e-05,0.0312248958546131,1.0,73.96252664675204,0.02692522428998818,1.09,1.0873177,3,2.975636054745064,5.60438064070291
1618.0,60691.0,6.6008273907689255e-06,0.02326152823400093,1.0,22.820155850409765,0.027275386202082804,1.115,1.2434775,8,2.8617965007979977,7.195384956342901
1618.0,60691.0,2.6827397458346714e-05,0.028480469749358958,1.0,33.259704559689084,0.028653668564926744,1.115,1.2434775,8,2.9894132917973035,5.92581788846907
1618.0,60691.0,7.503753039699432e-06,0.02369408770590794,1.0,60.55893523903825,0.013213905870715765,1.115,1.2434775,8,2.7491810641306094,5.431045566233179
1618.0,60691.0,8.06716630380373e-06,0.015703721308558675,1.0,81.605785572415,0.01759139467559844,1.115,1.2434775,8,1.4583385647706084,2.9501422489629525
1618.0,60691.0,1.77893306674335e-05,0.03503753926995135,1.0,135.46232515373458,0.03380697797405255,1.115,1.2434775,8,3.961220875793877,15.500960783978092
1618.0,60691.0,1.5004207165085252e-06,0.006139526883321232,4.0,187.64580735482923,0.013253145722199666,1.115,1.2434775,8,0.6672772445808525,0.26233484169808935
1618.0,60691.0,3.8383846852019886e-07,0.005928802979249149,4.0,260.7903034848933,0.06882755891018859,1.115,1.2434775,8,0.6739650379582589,0.25319035803448176
1624.0,47469.0,1.1337931623824063e-05,0.017970987898847043,1.0,71.91274645921132,0.023984820205207487,1.01,1.3898184,6,1.9405018226908686,5.715959821680961
1624.0,47469.0,1.2985111626135356e-05,0.01778554650797912,1.0,110.9045790537648,0.015263973546360249,1.01,1.3898184,6,1.8914298811333266,5.6140962192570365
1624.0,47469.0,5.365566124158878e-06,0.03031584476170921,1.0,271.21091882836356,0.01001918748171622,1.01,1.3898184,6,3.1074776697807756,4.74299473652691
1649.0,21004.0,3.0333277137322896e-05,0.032643260075355104,1.0,20.71394584562433,0.02287980768098008,1.566,1.7553679,2,3.3842595281917527,11.49284611490231
1661.0,72322.0,5.08795131392814e-05,0.04356919278809192,1.0,68.3449245749269,0.060663191731517116,0.821,0.97341484,5,4.749937849060868,20.669792671767283
1661.0,72322.0,8.602762853619785e-06,0.043850117984243625,1.0,120.33746936077048,0.01483567478617389,0.821,0.97341484,5,5.094018784887823,24.90886903964823
1661.0,72322.0,1.7540629508073556e-05,0.03367020357506323,1.0,223.97271477164048,0.00914369575181095,0.821,0.97341484,5,3.568670664282753,11.747027770478294
1841.0,21877.0,7.009312590420781e-06,0.0066500240147814365,1.0,6.3757599159864995,0.04676834939692814,0.574,0.7489493,8,0.7576362933606529,0.3812791309978105
1841.0,21877.0,1.5293382674088005e-05,0.017821312764884283,2.0,9.663001474569613,0.007826241516092737,0.574,0.7489493,8,2.044093103307611,7.123282824112877
1841.0,21877.0,4.497312515946457e-06,0.00998787874905287,1.0,23.680089276264255,0.017224398897057545,0.574,0.7489493,8,1.1043831128072668,1.0620172841888347
1841.0,21877.0,1.3223902254593162e-05,0.015552602863769723,2.0,35.82471011852582,0.022687030001383588,0.574,0.7489493,8,1.6311606459098762,4.59947908245357
1841.0,21877.0,1.9255186937515375e-05,0.009990021620467861,1.0,53.67660159102454,0.019867040185061722,0.574,0.7489493,8,1.1245627750075322,1.2377378726002497
1841.0,21877.0,1.5686702136178363e-05,0.012792624680122329,1.0,221.32722839244119,0.007860100563743599,0.574,0.7489493,8,1.3966964421593548,2.639722451038558
1964.0,75119.0,1.951080827915719e-05,0.02244910783265508,2.0,12.45699746356031,0.049485684494999446,0.907,0.8186826,5,2.438801178173509,6.265193925493827
1964.0,75119.0,1.4807133699598651e-05,0.02503039254987595,2.0,63.27534044838293,0.004991973893722219,0.907,0.8186826,5,3.0751771566600374,6.807102059063354
1964.0,75119.0,8.331802167488913e-06,0.020148188443252876,2.0,109.09410064767908,0.026295834183551414,0.907,0.8186826,5,1.9205565269168652,4.636804748726439
1964.0,75119.0,4.173118696702355e-07,0.0049104278228601535,1.0,247.49084016569947,0.01848989581135314,0.907,0.8186826,5,0.5492667657080594,0.13539425371008468
1965.0,57520.0,2.166656985497933e-05,0.013588266468932863,1.0,8.413080825866237,0.006538989169505113,0.673,0.6421671,5,1.5396171231190432,3.6337977959817707
1965.0,57520.0,1.2830680839886416e-05,0.013760812291543122,1.0,21.137639931813585,0.057129188606029765,0.673,0.6421671,5,1.5292960968974936,3.574428754094737
1965.0,57520.0,8.455920941048483e-06,0.015267652836921136,1.0,34.414330676734906,0.05395952103236762,0.673,0.6421671,5,1.7655589610094822,5.650823685568941
1965.0,57520.0,1.0630343233949937e-05,0.010584535705307263,1.0,116.33355338621205,0.032913122459861846,0.673,0.6421671,5,1.0788138387381665,1.0418781012365743
1987.0,51649.0,1.0311989874300654e-05,0.03195670453304128,1.0,23.33677599382766,0.01345048411388137,0.743,0.71915066,3,3.469375709394191,12.21899953132392
1987.0,51649.0,9.950117472694374e-06,0.018248000191739274,1.0,49.13323838030763,0.030674528362661577,0.743,0.71915066,3,1.8327425510310396,6.392624311242055
2078.0,53458.0,1.9897901757325396e-05,0.04109219609901772,2.0,13.839758649932495,0.052041668027598825,0.725,0.6608965,6,4.68552853921296,22.33442351510816
2078.0,53458.0,5.6786533428169835e-06,0.022504934226533962,2.0,31.25319475704869,0.022931010771208814,0.725,0.6608965,6,2.4105721423446873,5.527010936666883
2078.0,53458.0,1.5130225398241739e-05,0.051184999325768823,2.0,88.43248796276151,0.004968378004079611,0.725,0.6608965,6,5.171672496447864,25.18974865826405
2078.0,53458.0,3.0910419463123416e-05,0.04425234063676768,2.0,142.56520437800054,0.011734344069231267,0.725,0.6608965,6,4.8222876439490365,21.951688741628693
2101.0,6991.0,3.1502125572884e-05,0.013080917513273768,4.0,20.393587130930033,0.034870210188484047,1.041,1.1592844,6,1.5278645335074583,3.510578658706243
