# starID,Period_days,Radius_earth,Duration_hours
3371,2.18916871e+01,2.58898674e+00,2.47608467e+00
3387,1.12771359e+01,7.27697418e-01,3.90776007e+00
3421,9.03612417e+00,2.94325547e+00,3.42461917e+00
3472,1.00960428e+01,8.76963049e-01,3.21910429e+00
3472,9.28123758e+01,2.15828286e+00,8.13685916e+00
3621,9.26650469e+00,3.08439875e+00,4.04268202e+00
3628,5.40175015e-01,3.61658998e+00,1.16648710e+00
3640,2.10491026e+01,1.70062320e+00,4.46549423e+00
3663,1.20157476e+01,2.07306402e+00,3.62428337e+00
3680,8.19498698e+01,4.07739354e+00,5.96534096e+00
3826,1.65754223e+01,2.26189910e+00,4.27904135e+00
3826,3.72362302e+01,2.20230068e+00,6.86219604e+00
3900,1.02590674e+01,1.18212090e+00,4.21846940e+00
3959,2.30631138e+02,2.44690803e+00,1.21934648e+01
3965,1.20205183e+01,2.30065134e+00,1.03496190e+00
3965,2.70388809e+01,2.72743000e+00,6.28933803e+00
3965,5.59870846e+01,4.51440286e+00,8.19018986e+00
3973,2.70105584e+00,9.94986679e-01,2.77312787e+00
4000,1.35886711e+01,9.31552941e-01,3.88173589e+00
4041,1.54861973e+01,9.87461051e-01,3.87124846e+00
4041,4.15246154e+01,1.39556542e+00,7.14177807e+00
4050,8.38037422e+00,9.50349511e-01,4.20757971e+00
4088,3.75090848e+01,2.71211562e+00,5.20537460e+00
4124,6.56367632e+00,2.39010775e+00,2.71991810e+00
4127,1.15212887e+01,2.36530925e+00,2.33885194e+00
4141,9.14684808e+00,2.21697918e+00,4.34076930e+00
4141,1.17641589e+01,1.99159451e+00,3.74721655e+00
4215,1.28451525e+01,2.21367699e+00,3.82753777e+00
4215,3.27675847e+01,2.11621404e+00,6.55416629e+00
4223,2.07254541e+01,1.35759559e+00,4.14280752e+00
4223,3.05400586e+01,2.14445220e+00,4.79319849e+00
4248,2.10357628e+01,2.44432025e+00,5.57312253e+00
4297,6.58453804e+00,1.49767233e+00,3.88913016e+00
4297,2.94757212e+01,2.09666435e+00,6.13392021e+00
4297,5.22172275e+01,2.59610890e+00,7.82235325e+00
4308,3.78378430e+01,2.60100260e+00,5.16087285e+00
4333,1.99594656e+01,2.98616945e+00,4.82742636e+00
4482,9.38675598e+00,2.61922384e+00,3.75534386e+00
4488,4.22489747e+00,1.30672241e+00,3.06132694e+00
4578,3.98962978e+00,1.21644569e+00,3.29795551e+00
4588,1.06873399e+00,1.34710545e+00,1.75403107e+00
4600,1.05941215e+01,1.50929464e+00,2.93358233e+00
4614,4.01038718e+01,4.48850726e+00,6.48111182e+00
4661,1.46970943e+01,1.72811575e+00,4.52433770e+00
4661,2.64141002e+01,2.98934101e+00,4.65328839e+00
4792,9.05954773e+00,4.04213130e+00,3.60630609e+00
4838,8.57152137e+00,6.70742538e-01,1.11707477e+00
4868,2.28670713e+01,1.49335815e+00,3.13691174e+00
4901,1.88848836e+01,2.68871897e+00,5.49754707e+00
4901,4.15464875e+01,2.54245630e+00,6.66680732e+00
4901,9.18988765e+01,3.41017720e+00,5.51254582e+00
4950,1.23638399e+01,1.28947152e+00,3.88826058e+00
5036,4.15486219e+01,1.99918551e+00,6.95646770e+00
5040,9.50266164e-01,1.66141840e+00,8.62211335e-01
5042,1.38118107e+01,2.18263847e+00,1.13632571e+00
5061,1.48951058e+01,2.35424986e+00,1.96950810e+00
5070,1.22789623e+00,1.79428303e+00,2.08724990e+00
5123,7.37183090e+00,8.73449482e-01,4.03989221e+00
5134,1.80603341e+00,1.21078785e+00,2.47604922e+00
5134,3.94476252e+00,1.49079293e+00,2.89885776e+00
5134,6.05743772e+00,1.06113545e+00,3.30836461e+00
5162,2.85205679e+00,1.60764811e+00,2.97000196e+00
5162,5.15455505e+00,2.18815220e+00,2.01691632e+00
5162,7.87255222e+00,2.13489046e+00,2.17560881e+00
5162,1.58210763e+01,2.73895562e+00,3.40702731e+00
5162,2.37339464e+01,3.57479131e+00,6.09474490e+00
5162,3.88028551e+01,5.72934372e+00,4.23541190e+00
5204,2.79903593e+01,1.43266197e+00,5.00264036e+00
5216,6.95146087e+00,7.97846300e-01,3.01302239e+00
5216,2.25398477e+01,1.69009809e+00,4.33607298e+00
5217,9.10766953e-01,5.26848088e+00,1.74224162e+00
5217,1.62011908e+00,4.16738420e+00,1.55582018e+00
5217,3.36318663e+00,3.49355237e+00,1.51646926e+00
5218,1.02994243e+01,1.12038038e+00,4.48743038e+00
5218,1.47372941e+01,1.60895831e+00,4.92942929e+00
5218,2.02001048e+01,1.34431380e+00,5.43389696e+00
5293,9.24796549e+00,1.55824295e+00,3.42367109e+00
5307,7.09591736e+00,9.21971576e-01,3.46384647e+00
5335,4.95907890e+00,1.35820085e+00,3.18110767e+00
5336,5.63332312e+01,2.54844971e+00,7.88947595e+00
5339,6.43575550e+01,2.91480062e+00,8.19594863e+00
5342,1.04646947e+01,8.19234830e-01,8.06119575e-01
5425,4.46391548e+01,2.50008692e+00,6.11772803e+00
5425,3.22916202e+02,6.42527553e+00,1.05255150e+01
5433,1.15439251e+01,4.00020651e+00,4.53114951e+00
5473,9.63015551e-01,1.11677531e+00,2.07671062e+00
5473,8.88471563e+00,1.04759083e+00,3.74280244e+00
5491,9.51564850e-01,1.21775933e+00,1.88058853e+00
5526,9.44952446e+00,1.61565126e+00,3.12021891e+00
5526,1.91796694e+01,1.74050533e+00,4.59347608e+00
5574,4.46813494e+00,9.99851664e-01,3.35803343e+00
5574,1.47808199e+01,1.60225580e+00,4.04035590e+00
5607,6.50404023e+00,1.84306852e+00,2.46958446e+00
5620,6.96155017e-01,6.91209604e-01,1.80661492e+00
5660,5.56534370e+00,6.08736342e-01,3.10353679e+00
5766,4.02606611e+01,1.09448213e+01,5.06746092e+00
5778,3.54129064e+01,2.11783521e+00,5.54181119e+00
5789,4.65261250e+00,1.07253202e+00,7.57783761e-01
5794,4.96219629e+01,8.91656351e-01,4.07038915e+00
5805,1.48706292e+01,2.93145404e+00,3.03852137e+00
5897,1.78563049e+01,8.61681571e-01,5.28092210e+00
5900,9.15257634e+00,2.58855788e+00,4.16158154e+00
5921,8.81543433e+00,1.19094490e+00,1.99820583e+00
5981,2.32016415e+00,1.12924104e+00,2.75419353e+00
5981,4.27895643e+00,1.68357971e+00,3.37365642e+00
5981,8.60375416e+00,2.07551908e+00,4.29441781e+00
5981,1.37614943e+01,1.37727880e+00,4.75461199e+00
6061,5.11228143e+00,8.13877603e-01,1.84567055e+00
6072,7.54032123e+00,1.17621792e+00,2.48376579e+00
6072,2.36851071e+01,2.34727665e+00,5.91317931e+00
6121,6.86801842e+01,2.06998660e+00,8.56327300e+00
6203,1.44668189e+00,1.40346162e+00,1.89907612e+00
6278,8.26803646e+00,4.52752163e+00,2.98607273e+00
6343,2.23937143e-01,1.07732355e+00,1.21722612e+00
6351,2.24160552e+01,1.14410892e+00,5.59433486e+00
6352,2.39720473e+01,1.54320280e+00,6.00080473e+00
6449,1.44389431e+01,1.39155898e+00,5.01953667e+00
6492,4.77327935e+01,3.45156147e+00,6.53636980e+00
6499,1.78651418e+01,2.42875727e+00,5.07366224e+00
6685,1.21720605e+01,1.32092521e+00,4.65029857e+00
6770,2.01793360e+01,2.29239496e+00,5.26577975e+00
6770,6.15827590e+01,2.35170908e+00,7.76353455e+00
6814,1.31362111e+01,9.81703796e-01,1.75506853e+00
6818,8.09566097e+00,9.71447231e-01,1.84768421e+00
6850,7.81253316e+00,3.65975431e+00,3.55015122e+00
6872,5.52160317e+00,5.77039729e-01,3.65296017e+00
6897,4.83014725e+00,1.46433503e+00,3.42243133e+00
6908,3.43510354e+00,1.16040367e+00,3.14582437e+00
6949,6.16618228e+00,1.23343276e+00,3.57960669e+00
6950,2.68942122e+00,1.20476587e+00,2.34927794e+00
6958,8.49701049e+00,2.15565735e+00,4.28248483e+00
6958,1.46154206e+01,1.76630348e+00,5.04944627e+00
7006,1.70020111e+01,2.70774020e+00,2.95330740e+00
7026,9.31495895e+00,7.91738638e-01,2.37156099e+00
7061,7.34547514e+00,1.98486426e+00,3.68063450e+00
7132,1.99729130e+00,2.56131302e+00,2.61146740e+00
7132,3.17979065e+00,2.09197444e+00,2.70201574e+00
7132,6.22528292e+00,2.45544092e+00,2.70222959e+00
7132,9.49102619e+00,4.21430070e+00,4.24317611e+00
7132,1.68050724e+01,2.49132788e+00,2.70386391e+00
7132,3.29517883e+01,3.10839902e+00,6.78351797e+00
7232,3.62490003e+00,8.21499807e-01,2.83871563e+00
7240,1.34825260e+01,1.26926059e+00,3.12153711e+00
7251,1.86953265e+00,1.65769497e+00,1.71968033e+00
7323,4.42611691e+00,2.86251136e+00,3.02046511e+00
7323,7.86380035e+00,6.12396512e+00,2.93085364e+00
7323,1.58660645e+01,4.33277405e+00,3.57214032e+00
7332,8.48645715e+01,6.76004717e+00,9.57026865e+00
7370,1.08278273e+01,1.28369112e+00,4.18014719e+00
7396,1.65020553e+01,1.02011754e+00,4.73407621e+00
7402,3.72060599e+01,6.61913129e+00,7.19907180e+00
7432,2.18253515e+00,1.27459677e+00,2.51585679e+00
7464,2.41862060e+02,4.03419205e+00,6.47560391e+00
7466,4.85443591e+00,2.59620872e+00,2.94531061e+00
7466,1.89095250e+01,2.74603115e+00,1.81477187e+00
7502,9.15152240e+00,1.31136281e+00,2.76592196e+00
7502,2.35012369e+01,1.64458019e+00,1.42278436e+00
7509,1.64304523e+01,1.21770972e+00,5.15595676e+00
7535,9.44352504e+00,2.40843614e+00,3.53797860e+00
7535,1.42840172e+01,3.90407005e+00,4.07876734e+00
7549,2.86774709e+00,3.17239230e+00,1.43556884e+00
7589,4.52403025e+00,2.68270974e+00,1.86245350e+00
7589,7.29396902e+00,2.61992813e+00,2.42411917e+00
7653,5.14871474e+00,2.20764411e+00,2.47021272e+00
7722,2.07362190e+01,3.49658706e+00,5.02012436e+00
7753,3.01687524e+00,2.50084359e+00,2.49722971e+00
7764,4.49626708e+00,3.11411304e+00,1.28643941e+00
7793,9.76996210e+00,1.34153109e+00,3.87639712e+00
7799,2.89686987e+02,4.70570440e+00,1.37894802e+01
7831,6.96318910e+00,1.24197126e+00,2.63131305e+00
7883,7.65953205e-01,7.29574565e-01,1.80171381e+00
7904,5.82005101e+00,9.64873401e-01,3.73507533e+00
7904,1.58324553e+01,1.00499704e+00,4.74753776e+00
7904,2.81714848e+01,1.97157322e+00,3.34294327e+00
7904,5.26358097e+01,1.79206620e+00,7.75730262e+00
7914,5.10150491e+00,1.11519944e+00,3.29799279e+00
7934,1.09988476e+01,6.74867936e-01,3.84208868e+00
7942,3.31616436e+01,3.10257758e+00,4.15259717e+00
7966,3.14666912e+01,5.47795522e+00,4.99574064e+00
8022,4.85739116e+00,1.27583407e+00,1.10121716e+00
8030,3.39551070e+01,2.80214392e+00,5.28908492e+00
8068,1.35006428e+01,8.21815133e-01,3.02670733e+00
8086,9.47060713e+00,1.75489955e+00,3.40559173e+00
8086,1.51214776e+01,2.06109122e+00,4.39209808e+00
8098,3.46473476e+00,8.30993860e-01,2.55142026e+00
8127,1.55479749e+01,7.86734981e+00,4.27443064e+00
8147,1.10729022e+02,1.58353683e+00,8.99679813e+00
8231,9.39243772e+00,1.81267665e+00,3.97472133e+00
8245,1.47406557e+01,2.01154119e+00,4.79735943e+00
8247,1.65894419e+01,1.91081043e+00,4.86344822e+00
8247,2.41290708e+01,2.73873878e+00,6.04024653e+00
8254,6.04483244e-01,1.52049054e+00,1.70369835e+00
8254,1.24047709e+01,2.32934508e+00,2.80330823e+00
8318,6.45623705e+00,4.22530689e+00,2.41766584e+00
8318,1.02796677e+01,6.18011857e+00,4.70801850e+00
8324,1.82353407e+01,3.98260299e+00,4.11125847e+00
8406,2.54164880e+00,1.61688752e+00,2.45289657e+00
8406,8.67598385e+00,1.68752396e+00,4.00914198e+00
